mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.33,4,0,False,0.10115996711584568,0.008015256353483543,7.381486002604166,0.34705067978997717
0.33,4,1,False,0.10112434824909985,0.006861347223472986,7.374210611979167,0.3438451169130965
0.33,4,10,False,0.10381612759642626,0.009358569445820144,7.279109700520833,0.4160226200253941
0.33,4,11,False,0.10193045428661848,0.00801139387468502,7.3215576171875,0.39079568490781397
0.33,4,12,False,0.10219844418802523,0.008418204432691595,7.34168701171875,0.37585655291955555
0.33,4,13,False,0.10149955821096229,0.007518968547395642,7.37222900390625,0.3517308434698334
0.33,4,14,False,0.10351062894707351,0.009257920111345264,7.270987955729167,0.4173338169553654
0.33,4,15,False,0.10182692945327432,0.007943881169932082,7.368778483072917,0.3482653799777292
0.33,4,16,False,0.10276595446418152,0.00821475684855463,7.32236328125,0.38153097216679116
0.33,4,17,False,0.10231777378659508,0.008285526496084904,7.364725748697917,0.36288723662872385
0.33,4,18,False,0.10315679719361034,0.009800384687703851,7.304191080729167,0.4006062033441442
0.33,4,19,False,0.10279127107600232,0.009914091739393322,7.274479166666667,0.40924012912445173
0.33,4,2,False,0.09984193449915063,0.007184363471632498,7.429520670572916,0.3139023587367711
0.33,4,20,False,0.10038822616710458,0.006882396586033536,7.420585123697917,0.31297649880441314
0.33,4,21,False,0.10480905515115589,0.010027125425729142,7.251924641927084,0.4257334150728181
0.33,4,22,False,0.09997529145189936,0.005933626382709471,7.433601888020833,0.3074152497532682
0.33,4,23,False,0.10111413206665379,0.007689435855117595,7.346284993489584,0.3683085443038046
0.33,4,24,False,0.10038660131559088,0.007074069756800967,7.3740234375,0.34576227576473767
0.33,4,25,False,0.10062492025467505,0.00712014743564781,7.433170572916667,0.3044763709536035
0.33,4,26,False,0.10293142135947622,0.009676345345170504,7.2850830078125,0.4135649764204122
0.33,4,27,False,0.1010590435968665,0.007875255917595664,7.378422037760417,0.3517700493718822
0.33,4,28,False,0.09963036255761439,0.007077044880258064,7.41876220703125,0.3101470608795319
0.33,4,29,False,0.10098637860515865,0.00727467440382657,7.424247233072917,0.31797935987283094
0.33,4,3,False,0.10234398346252507,0.007966344419678072,7.3141357421875,0.3928472258969581
0.33,4,30,False,0.10157934552589123,0.008175541454128939,7.350996907552084,0.36957854476146723
0.33,4,31,False,0.10074115331910581,0.007002749743212766,7.384138997395834,0.34017242342569487
0.33,4,32,False,0.1012639360730495,0.008000464389444571,7.336478678385417,0.372419425043679
0.33,4,33,False,0.10125050063310999,0.007722262798709192,7.370719401041667,0.35052008324099315
0.33,4,34,False,0.10286175253227384,0.007728853818232565,7.363972981770833,0.35925442336009544
0.33,4,35,False,0.10184731851395437,0.008361914436472332,7.336063639322917,0.37819914430231016
0.33,4,36,False,0.10034542673501873,0.006814668392462879,7.40712890625,0.32551342012229384
0.33,4,37,False,0.10270541396614327,0.009087147847210566,7.303902180989583,0.4017733727553654
0.33,4,38,False,0.1006893455736273,0.00732579261057352,7.405387369791667,0.327708788602868
0.33,4,39,False,0.10168946092364231,0.009712090201328693,7.346122233072917,0.37547430624528166
0.33,4,4,False,0.10053980810308909,0.007343988413922999,7.378816731770834,0.3537150695847768
0.33,4,40,False,0.10038279111637574,0.007261569801532045,7.38936767578125,0.3407353178065972
0.33,4,41,False,0.10117321694881397,0.008058744901667188,7.36893310546875,0.34505576915091934
0.33,4,42,False,0.10256247233862588,0.00883898170735369,7.32572021484375,0.38594941205780414
0.33,4,43,False,0.10106539815216271,0.006770086276944148,7.370048014322917,0.3449368804215606
0.33,4,44,False,0.1013209095224646,0.008159966034534739,7.344230143229167,0.36991079131004595
0.33,4,45,False,0.10062334971389536,0.007168567397499776,7.39735107421875,0.324258365815216
0.33,4,46,False,0.10149630009243958,0.007978589534494417,7.356270345052083,0.3536675222513014
0.33,4,47,False,0.10286675319116097,0.009052397157491272,7.304720052083334,0.3988126595878138
0.33,4,48,False,0.10169568695064952,0.009040060480584531,7.318208821614584,0.3875686037228245
0.33,4,49,False,0.10372161333010169,0.009789008131179312,7.271870930989583,0.4153944976342646
0.33,4,5,False,0.10002542400678799,0.006577851959278146,7.444783528645833,0.3009971559347223
0.33,4,50,False,0.10291488769815867,0.00831950907667375,7.303885904947917,0.39170824239861857
0.33,4,51,False,0.10061176476579788,0.006958380557863752,7.401216634114584,0.3374757585581261
0.33,4,52,False,0.10287592042952069,0.010057337142040977,7.28182373046875,0.4092780398186411
0.33,4,53,False,0.1020493487439348,0.007993743088036251,7.3415283203125,0.3707993680243712
0.33,4,54,False,0.10228143648361783,0.008921985155770282,7.3235595703125,0.3778444371109801
0.33,4,55,False,0.10023750442821498,0.007285891719538511,7.39835205078125,0.3303625790736029
0.33,4,56,False,0.10132785583655823,0.008465492073280548,7.354056803385417,0.36318213732162613
0.33,4,57,False,0.09943694532432999,0.006501720279191142,7.39132080078125,0.34252671153551356
0.33,4,58,False,0.10195581045232283,0.008544434179030195,7.353120930989584,0.3676744474488419
0.33,4,59,False,0.10212103404644851,0.00933694482490588,7.316825358072917,0.3888268814176036
0.33,4,6,False,0.10239278204802223,0.008359006310587183,7.340140787760417,0.3735785627333873
0.33,4,60,False,0.10308746543110808,0.008096053730253135,7.33145751953125,0.3683678885265243
0.33,4,61,False,0.1032421282092416,0.008231536877278704,7.309651692708333,0.3899203077294255
0.33,4,62,False,0.10001444222982657,0.006990192809041347,7.409501139322916,0.32691671104622894
0.33,4,63,False,0.10105740679370069,0.008194117962686188,7.375236002604167,0.3436063060593283
0.33,4,7,False,0.10106531384726661,0.007092482541301451,7.371073404947917,0.34750858854773076
0.33,4,8,False,0.1005261454699313,0.008312748652689087,7.401692708333333,0.3410796283224318
