mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.355,4,0,True,0.5459176852826828,0.0046336083117635395,3.928076171875,0.011784492039847428
0.355,4,10,True,0.5453259835015698,0.004015418305636927,3.905908203125,0.013222508394437373
0.355,4,11,True,0.3416208372205449,0.15125850311466948,4.596195475260417,0.6831691480368993
0.355,4,12,True,0.5468453352297256,0.0027607219707393416,3.9173177083333335,0.0076895469414556
0.355,4,13,True,0.5467438438499888,0.004191703427457726,3.9150594075520835,0.01721024260886032
0.355,4,14,True,0.5467730385011057,0.002966000441973932,3.9166219075520834,0.010377387854644256
0.355,4,15,True,0.5457488220651864,0.0037385596401564693,3.9326985677083335,0.00799421277264641
0.355,4,16,True,0.5469457419300909,0.0028084656935915484,3.908463541666667,0.008915018892000161
0.355,4,17,True,0.21137839152921353,0.08451391037416334,5.433683268229166,0.9275366230040936
0.355,4,18,True,0.5471829544307346,0.0030281036597293596,3.9117757161458333,0.01515144315615802
0.355,4,19,True,0.5457454725837336,0.004065222073214555,3.9351155598958334,0.006179437738647559
0.355,4,1,True,0.5456275045359623,0.004029254011924945,3.932120768229167,0.005620003117356467
0.355,4,20,True,0.2818638450352078,0.1402767262648617,4.951289876302083,0.845289892318192
0.355,4,21,True,0.545743187188219,0.0036384158868866716,3.8919677734375,0.011069697780946271
0.355,4,22,True,0.5456682696912647,0.0032967000005395676,3.91334228515625,0.0110507618434354
0.355,4,23,True,0.5470514816955575,0.0037098315354533043,3.911669921875,0.008414390847999366
0.355,4,24,True,0.13243856523272862,0.023775499853063393,6.703934733072916,0.6842481626868576
0.355,4,25,True,0.3013272768820892,0.14444010447154335,4.827339680989583,0.8068648091802982
0.355,4,26,True,0.5462979879873302,0.003076358505374678,3.9359619140625,0.0062178899531319005
0.355,4,27,True,0.5463373045419004,0.00318699730213655,3.92076416015625,0.010040699371401222
0.355,4,28,True,0.5465383462804447,0.004049950527361055,3.9020060221354167,0.023215592998740982
0.355,4,29,True,0.5448472267577714,0.0037333319543326493,3.923775227864583,0.0067715241006466465
0.355,4,2,True,0.5465298212976003,0.0037453055883763407,3.9053629557291667,0.011267776808134346
0.355,4,30,True,0.5469667098749159,0.003054318056692899,3.9235432942708335,0.006274487948116637
0.355,4,31,True,0.5465659627171288,0.0034864593801565737,3.915771484375,0.018453704695676674
0.355,4,32,True,0.5462412393828221,0.003572092300629856,3.89932861328125,0.019014416017029915
0.355,4,33,True,0.5463575181799445,0.00282604153108307,3.9089029947916667,0.004666528767864383
0.355,4,34,True,0.3476312899531818,0.15113433791949143,4.565067545572917,0.6727071846056971
0.355,4,35,True,0.21428827022764715,0.08570908300625747,5.396822102864584,0.9192670148548648
0.355,4,36,True,0.36952708574814036,0.15183135099661413,4.445536295572917,0.5947113929516286
0.355,4,37,True,0.5453999120287256,0.003562472824190686,3.90758056640625,0.015330960505650413
0.355,4,38,True,0.5461231918750565,0.0027043853371182666,3.9205891927083334,0.015622289210517
0.355,4,39,True,0.35227406909902936,0.15077767944303574,4.530419921875,0.6608489962541985
0.355,4,3,True,0.4651323154122147,0.11312768207756996,4.072245279947917,0.24498724885470033
0.355,4,40,True,0.5476334583262806,0.003255796177294984,3.8973103841145833,0.01986652447398395
0.355,4,41,True,0.1823936586842753,0.064961540495902,5.75863037109375,0.9236965024654267
0.355,4,42,True,0.24460455148289462,0.11600980510239231,5.1877685546875,0.9058024542217764
0.355,4,43,True,0.18451853914041758,0.06247917263753688,5.72525634765625,0.9156829094991187
0.355,4,44,True,0.5473203140916059,0.003462317197052808,3.93692626953125,0.008045236241649769
0.355,4,45,True,0.20751051689486194,0.0791605189089702,5.465714518229166,0.9196123134072165
0.355,4,46,True,0.5453566769584584,0.005288353176871872,3.94462890625,0.010495945919857032
0.355,4,47,True,0.5461028815253575,0.004172881715217232,3.925850423177083,0.008069557598595144
0.355,4,48,True,0.18781729600744562,0.0686355856583817,5.696232096354167,0.9309015109145151
0.355,4,49,True,0.23748763643061693,0.11103229825216578,5.224544270833333,0.9153925072872551
0.355,4,4,True,0.18683978009168722,0.06707566880640843,5.708426920572917,0.9221008528884317
0.355,4,50,True,0.15368898061440978,0.043609739007871635,6.2270263671875,0.856868010848813
0.355,4,51,True,0.5460658474220982,0.0033607747327353567,3.9231852213541667,0.006021085080490228
0.355,4,52,True,0.5476954521103033,0.0024385760664488907,3.9111572265625,0.006255306534283506
0.355,4,53,True,0.5458702158765829,0.004121032178567731,3.9043538411458334,0.012820394818056349
0.355,4,54,True,0.5467743037123277,0.0027703886347772394,3.905586751302083,0.012474912395904437
0.355,4,55,True,0.5461124537314677,0.0036579920490826734,3.901175944010417,0.016119158151530956
0.355,4,56,True,0.5474553163399211,0.0031528554956929693,3.9295857747395835,0.008998830656039403
